Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	3	1	0	2	1	1039	27	[1026,14,1078,48]					1	1274	1470	857	0.685564	0.365777	
1	3	1	0	2	2	949	166	[928,102,994,192]					3	6396	5466	2796	0.807304	0.563919	
1	3	1	0	2	3	1109	166	[1101,137,1118,179]					1	5493	1639	402	0.658154	0.298142	
1	3	1	0	2	4	1209	153	[1191,140,1223,165]					1	2785	1512	565	0.860323	0.664462	
1	3	1	0	2	5	1229	189	[1212,174,1255,210]					2	4863	3053	898	0.782328	0.494802	
1	3	1	0	2	6	1210	268	[1169,242,1273,347]					4	9488	8567	2502	0.65525	0.386522	
1	3	1	0	2	7	949	309	[922,286,978,343]					2	9466	3114	2005	0.834172	0.548567	
1	3	1	0	2	8	534	662	[443,578,648,909]					18	71009	34356	20991	0.753349	0.463736	
1	3	1	0	2	9	894	718	[880,692,908,739]					1	2469	2908	862	0.805008	0.511287	
1	3	1	0	2	10	321	761	[302,743,348,783]					1	4164	1688	1194	0.829826	0.621418	
1	3	1	0	2	11	323	837	[297,803,384,855]					3	12134	4712	2560	0.869706	0.635125	
1	3	1	0	3	1	1135	111	[1113,89,1157,133]					1	3971	1628	1491	0.961694	0.786023	
1	3	1	0	3	2	941	427	[550,413,964,506]					1	1080	1578	7390	0.239763	0.0430709	
1	3	1	0	3	3	924	562	[909,529,951,613]					2	5044	3071	1409	0.715852	0.372283	
1	3	1	0	3	4	861	592	[849,581,877,603]					1	1357	2781	449	0.953241	0.65192	
1	3	1	0	3	5	526	611	[499,595,548,633]					1	2521	1540	945	0.785015	0.375539	
1	3	1	0	4	1	461	207	[447,196,480,223]					2	4282	3029	653	0.841146	0.519296	
1	3	1	0	4	2	859	334	[832,310,880,353]					2	9175	7591	1340	0.87133	0.563611	
1	3	1	0	4	3	550	380	[544,375,560,396]					1	3807	1483	209	0.829495	0.466936	
1	3	1	0	4	4	800	471	[772,445,838,494]					2	11195	4677	1593	0.7356	0.522252	
1	3	1	0	4	5	1098	535	[1066,514,1120,556]					1	4364	1966	1620	0.882147	0.633808	
1	3	1	0	4	6	1311	570	[1275,544,1340,600]					3	12418	8932	2657	0.884904	0.518759	
1	3	1	0	4	7	265	662	[256,653,274,675]					1	1379	1542	327	0.907131	0.644981	
1	3	1	0	4	8	874	859	[866,852,882,868]					1	1324	3084	196	0.971588	0.752009	
1	3	1	0	5	1	1322	42	[1310,31,1357,59]					2	5698	4426	798	0.818725	0.470209	
1	3	1	0	5	2	1290	229	[1258,213,1335,248]					2	5594	3560	1300	0.702603	0.438976	
1	3	1	0	5	3	960	322	[921,277,980,344]					3	13783	8642	2189	0.83598	0.539532	
1	3	1	0	5	4	408	349	[398,339,421,360]					1	3222	1650	381	1.01447	0.853595	
1	3	1	0	5	5	149	368	[138,359,158,378]					1	3321	1611	285	0.922412	0.672797	
1	3	1	0	5	6	305	584	[288,571,322,602]					3	11090	4818	761	0.942821	0.61472	
1	3	1	0	5	7	910	651	[898,640,921,664]					1	2787	2530	409	0.966341	0.836876	
1	3	1	0	5	8	1100	753	[1089,746,1107,763]					1	2444	1572	243	0.953707	0.645169	
1	3	1	0	5	9	189	921	[172,904,207,940]					1	4079	2422	945	0.978999	0.7892	
1	3	1	0	6	1	477	191	[458,171,499,211]					1	5664	2199	1052	0.89648	0.729756	
1	3	1	0	6	2	713	303	[678,283,742,324]					1	4255	2301	1728	0.707275	0.517383	
1	3	1	0	6	3	24	416	[18,410,31,422]					1	977	1653	117	0.952725	0.620174	
1	3	1	0	6	4	315	634	[293,616,354,653]					1	4668	2064	1490	0.795011	0.542647	
1	3	1	0	6	5	1197	650	[1188,641,1210,660]					1	3393	1841	338	0.944996	0.768221	
1	3	1	0	6	6	120	922	[94,901,140,948]					1	1894	1528	1151	0.738434	0.438894	
1	3	1	0	7	1	385	207	[354,180,420,233]					2	4813	4562	1777	0.718615	0.460352	
1	3	1	0	7	2	263	401	[245,370,313,420]					2	7946	4080	1968	0.800227	0.469935	
